index;ID;ID_SARIMA;date;temperature;p;p0;deltaP;relativeHumidity;windSpeed;windDirection;windDirection_oneHot;cloudiness;precipitation;precipitationIndex;Year;month;hour per day;Hour (with Minute)
01.09.2014 00:00;0;0;2014090100;10.8;1017.1;947.8;69.3;94;2.1;320;7;8;0;1;2014;9;0;0
01.09.2014 01:00;1;1;2014090101;10.5;1017.2;947.8;69.4;95;2.8;310;6;7;0.7;1;2014;9;1;1
01.09.2014 02:00;2;2;2014090102;9.9;1017.5;947.9;69.6;95;3;310;6;7;0.9;1;2014;9;2;2
01.09.2014 03:00;3;3;2014090103;10;1017.9;948.3;69.6;95;2.3;330;7;7;0;1;2014;9;3;3
01.09.2014 04:00;4;4;2014090104;10.2;1018.3;948.7;69.6;95;2.4;330;7;7;0;1;2014;9;4;4
01.09.2014 05:00;5;5;2014090105;10.2;1018.7;949.1;69.6;95;3;330;7;7;0.5;1;2014;9;5;5
01.09.2014 06:00;6;6;2014090106;10.7;1018.9;949.4;69.5;92;2;310;6;5;0;1;2014;9;6;6
01.09.2014 07:00;7;7;2014090107;11.5;1019.3;950;69.3;86;3.7;330;7;6;0;0;2014;9;7;7
01.09.2014 08:00;8;8;2014090108;11.6;1019.9;950.5;69.4;80;3.7;320;7;7;0;0;2014;9;8;8
01.09.2014 09:00;9;9;2014090109;11.2;1020.4;950.9;69.5;84;4;330;7;7;0;1;2014;9;9;9
01.09.2014 10:00;10;10;2014090110;12.5;1020.3;951.1;69.2;77;4;330;7;7;0;1;2014;9;10;10
01.09.2014 11:00;11;11;2014090111;12.4;1020.6;951.4;69.2;80;4.2;330;7;8;0;0;2014;9;11;11
01.09.2014 12:00;12;12;2014090112;12.7;1020.8;951.6;69.2;77;4;330;7;8;0;0;2014;9;12;12
01.09.2014 13:00;13;13;2014090113;12;1021.1;951.8;69.3;81;4.4;320;7;7;0;0;2014;9;13;13
01.09.2014 14:00;14;14;2014090114;13.4;1020.8;951.8;69;74;3.4;340;7;7;0;0;2014;9;14;14
01.09.2014 15:00;15;15;2014090115;13.6;1020.7;951.7;69;71;2.2;310;6;8;0;0;2014;9;15;15
01.09.2014 16:00;16;16;2014090116;13.1;1020.8;951.7;69.1;76;3.4;340;7;8;0;0;2014;9;16;16
01.09.2014 17:00;17;17;2014090117;12.6;1020.9;951.7;69.2;80;2.1;320;7;8;0;0;2014;9;17;17
01.09.2014 18:00;18;18;2014090118;12.4;1021.1;951.9;69.2;82;2.3;320;7;8;0;0;2014;9;18;18
01.09.2014 19:00;19;19;2014090119;11.9;1021.9;952.5;69.4;87;1.7;310;6;8;0;0;2014;9;19;19
01.09.2014 20:00;20;20;2014090120;11.7;1021.9;952.5;69.4;90;1.2;310;6;8;0;0;2014;9;20;20
01.09.2014 21:00;21;21;2014090121;11.2;1022;952.4;69.6;93;1.3;310;6;8;0;0;2014;9;21;21
01.09.2014 22:00;22;22;2014090122;11.2;1021.8;952.2;69.6;91;1.4;300;6;8;0;0;2014;9;22;22
01.09.2014 23:00;23;23;2014090123;11;1021.6;952;69.6;92;1.1;280;6;8;0;0;2014;9;23;23
02.09.2014 00:00;24;24;2014090200;10.8;1021.3;951.7;69.6;95;1;260;5;8;0;0;2014;9;0;0
02.09.2014 01:00;25;25;2014090201;10.4;1021.3;951.6;69.7;97;0.6;260;5;8;0;0;2014;9;1;1
02.09.2014 02:00;26;26;2014090202;10.4;1021.2;951.5;69.7;97;0.7;260;5;8;0;0;2014;9;2;2
02.09.2014 03:00;27;27;2014090203;10.2;1021.2;951.4;69.8;97;0.9;260;5;8;0;0;2014;9;3;3
02.09.2014 04:00;28;28;2014090204;10.1;1021.2;951.4;69.8;96;1.1;280;6;8;0;0;2014;9;4;4
02.09.2014 05:00;29;29;2014090205;9.9;1021.3;951.5;69.8;97;0.8;290;6;8;0;0;2014;9;5;5
02.09.2014 06:00;30;30;2014090206;10.6;1021.2;951.5;69.7;94;0.8;270;5;8;0;0;2014;9;6;6
02.09.2014 07:00;31;31;2014090207;11.9;1020.8;951.5;69.3;90;0.6;250;5;8;0;0;2014;9;7;7
